timestamp,age,gender,college,year_of_study,gpa_range,currently_employed,leisure_hours,self_study_hours,study_environment,sleep_hours,impact_on_learning_progress,far_away_deadlines,study_plan,start_early_when_necessary,difficult_to_maintain,data_quality_check,comfort_or_convenience,peers_consider_normal,control_over_habit,sooner_next_month,delay_until_deadline,focus_frequency,delay_unenjoyable_assignments,referrer
14/05/2026 1:12:37,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,Yes,4.0,4.0,Collaborative space (i.e. group study room),8.0,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,5.0,7.0,Hỏa Thúy Quỳnh
14/05/2026 1:16:11,19,Prefer not to say,CECS (Engineering & Computer Science),2nd Year,2.5 – 2.99,Yes,6.0,5.0,"Private space (i.e. bedroom, home office)",6.0,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,3.0,6.0,Bill.
14/05/2026 1:16:13,19,Male,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,No,6.0,7.0,"Private space (i.e. bedroom, home office)",5.0,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,6.0,5.0,Hỏa Thúy Quỳnh
14/05/2026 1:26:17,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4.0,6.0,"Private space (i.e. bedroom, home office)",7.0,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,6.0,1.0,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh"
14/05/2026 1:30:23,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,9.0,9.0,"Private space (i.e. bedroom, home office)",7.0,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5.0,6.0,Đặng Tuấn Kiệt
14/05/2026 1:31:25,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,4.0,4.0,"Private space (i.e. bedroom, home office)",5.0,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,2.0,6.0,Hỏa Thúy Quỳnh
14/05/2026 1:40:16,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,6.0,4.0,"Private space (i.e. bedroom, home office)",6.0,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,4.0,5.0,Lê Huy Tâm
14/05/2026 1:45:48,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,5.0,5.0,Collaborative space (i.e. group study room),7.0,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,4.0,5.0,Hỏa Thúy Quỳnh
14/05/2026 1:48:25,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,7.0,4.0,Any quiet space,7.0,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Neutral,5.0,5.0,Đặng Tuấn Kiệt
14/05/2026 1:52:51,19,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,8.0,4.0,Cafes,6.0,Strongly Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,6.0,3.0,Hỏa Thúy Quỳnh
14/05/2026 3:13:25,20,Prefer not to say,CECS (Engineering & Computer Science),3rd Year,2.5 – 2.99,No,6.0,2.0,Collaborative space (i.e. group study room),8.0,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,4.0,6.0,Bill
14/05/2026 7:38:45,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,5.0,2.0,"Private space (i.e. bedroom, home office)",6.0,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,2.0,6.0,Hỏa Thúy Quỳnh
14/05/2026 7:50:44,18,Male,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,4.0,5.0,"Private space (i.e. bedroom, home office)",7.0,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Agree,Agree,5.0,6.0,Hỏa Thúy Quỳnh
14/05/2026 8:09:53,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,5.0,12.0,Open learning space (i.e. university library),7.0,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,5.0,7.0,Đặng Tuấn Kiệt
14/05/2026 8:23:27,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4.0,3.0,"Private space (i.e. bedroom, home office)",7.0,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Strongly Disagree,7.0,2.0,Phan Minh Đức
14/05/2026 8:30:16,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,0.25,10.0,Open learning space (i.e. university library),7.5,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,7.0,4.0,Phan Minh Đức
